A,B,C,D
1.0,31.0,-24.990000000670552,207.23999999046325
2.0,6.0,-23.919999998509883,7.139999996423722
3.0,30.0,-22.659999985694885,199.13000000596045
4.0,2.0,-21.96999999925494,-24.819999997019767
5.0,38.0,-20.659999985694885,262.9899999997765
6.0,17.0,-19.96999999925494,94.98999999977649
7.0,12.0,-18.700000007152557,55.009999999329445
8.0,5.0,-17.689999986886978,-0.9400000017881394
9.0,12.0,-16.64000000476837,54.99999999955296
10.0,38.0,-16.000000000447034,262.9899999997765
11.0,8.0,-14.92999999642372,23.260000001192093
12.0,9.0,-13.77,31.18999999344349
13.0,6.0,-12.749999989271164,7.15000000178814
14.0,27.0,-11.739999998807907,175.10999999523162
15.0,7.0,-10.73000000834465,15.340000014305115
16.0,12.0,-9.919999998509883,55.280000011920926
17.0,39.0,-8.969999999254942,271.23
18.0,32.0,-7.739999998807907,215.00999999932944
19.0,12.0,-6.860000003576278,55.239999990463254
20.0,31.0,-5.839999992847442,207.32999999403953
21.0,23.0,-4.0,143.12000000059604
22.0,31.0,-3.659999985694885,207.07000000357627
23.0,28.0,-3.000000000447035,183.03999999865889
24.0,32.0,-1.800000001192093,215.07000000357627
25.0,27.0,-0.7899999958276749,175.35000000476836
26.0,25.0,0.36999998569488524,159.03000000074505
27.0,7.0,1.1099999952316284,15.210000004172326
28.0,4.0,2.210000004172325,-9.000000000447034
29.0,27.0,3.1200000005960464,175.18000000298022
30.0,6.0,4.009999999329448,7.1999999988079075
31.0,15.0,5.329999994039536,79.35000000476838
32.0,10.0,6.130000005960465,39.009999999329445
33.0,28.0,7.169999997615815,183.050000000298
34.0,33.0,8.260000001192093,223.28000001192092
35.0,6.0,9.239999990463257,6.999999999552966
36.0,27.0,10.050000000298024,175.35999999523162
37.0,1.0,11.369999985694886,-32.86999999403954
38.0,7.0,12.050000000298024,15.219999994635582
39.0,27.0,13.18999999344349,175.1999999988079
40.0,4.0,14.260000001192093,-8.830000002384185
41.0,6.0,15.120000000596047,7.089999999403954
42.0,33.0,16.210000004172326,223.13000000596045
43.0,15.0,17.050000000298024,79.03000000074506
44.0,5.0,18.039999998658896,-0.8300000023841858
45.0,4.0,19.080000001490117,-8.789999995827674
46.0,0.0,20.089999999403954,-40.98000000089407
47.0,13.0,21.089999999403954,63.26999999165535
48.0,12.0,22.13999999642372,55.160000007152554
49.0,2.0,23.039999998658896,-24.879999999403953
50.0,36.0,24.340000014305115,247.26000000119208
51.0,15.0,25.369999985694886,79.03000000074506
52.0,6.0,26.35999999523163,7.239999990463257
53.0,22.0,27.160000007152558,135.25000001072883
54.0,7.0,27.999999999552966,15.099999997317791
55.0,5.0,29.09999999731779,-0.9199999985098839
56.0,18.0,30.10999999523163,103.13000000596047
57.0,1.0,31.290000002384186,-32.800000001192096
58.0,20.0,32.05000000029803,119.08000000149012
59.0,8.0,33.01999999910593,23.250000010728836
60.0,34.0,34.25000001072883,231.08999999940394
61.0,2.0,35.05999999821186,-24.92999999642372
62.0,6.0,36.01999999910593,7.15000000178814
63.0,36.0,37.21999999463558,247.10999999523162
64.0,22.0,38.36999998569488,135.29999999284743
65.0,33.0,39.08000000149011,223.23
66.0,0.0,40.23,-40.70000000715256
67.0,27.0,41.18000000298023,175.16000000715255
68.0,31.0,42.25000001072883,207.18000000298022
69.0,4.0,43.16999999761581,-8.77
70.0,32.0,44.29999999284744,215.05999999821185
71.0,7.0,45.29999999284744,15.169999997615815
72.0,5.0,46.109999995231625,-0.8900000047683716
73.0,16.0,47.16999999761581,87.32000000357628
74.0,23.0,48.23,143.07000000357627
75.0,23.0,49.34000001430511,143.35000000476836
76.0,14.0,50.26999999165535,71.08000000149012
77.0,13.0,51.150000001788136,63.05000000029802
78.0,1.0,52.070000003576276,-32.78000000536442
79.0,26.0,53.13999999642372,167.05999999821185
80.0,28.0,54.13999999642372,183.23999999046325
81.0,20.0,55.109999995231625,119.01999999910593
82.0,37.0,56.18000000298023,255.050000000298
83.0,16.0,57.29000000238418,87.00999999932945
84.0,25.0,58.16999999761581,159.01999999910592
85.0,5.0,59.359999995231625,-0.8799999994039536
86.0,9.0,59.99999999955296,31.23
87.0,13.0,61.36999998569488,63.08999999940395
88.0,18.0,62.32999999403953,103.18000000298024
89.0,2.0,63.29000000238418,-24.71999998807907
90.0,19.0,64.03999999865889,111.07000000357628
91.0,33.0,65.35999999523163,223.1699999976158
92.0,37.0,66.29999999284745,255.28000001192092
93.0,16.0,67.08000000149012,87.28000001192093
94.0,24.0,67.99999999955297,151.1999999988079
95.0,27.0,69.32999999403954,175.35999999523162
96.0,16.0,69.98999999977649,87.07000000357628
97.0,20.0,70.98999999977649,119.0399999986589
98.0,2.0,72.21000000417233,-24.89000000476837
99.0,36.0,73.21999999463559,247.07000000357627
100.0,23.0,74.00999999932945,143.32999999403953
